iter	Passed	Remaining
972	8649	240
973	8657	231
974	8666	222
975	8675	213
976	8684	204
977	8693	195
978	8701	186
979	8710	177
980	8719	168
981	8728	159
982	8736	151
983	8745	142
984	8753	133
985	8762	124
986	8771	115
987	8780	106
988	8789	97
989	8797	88
990	8806	79
991	8815	71
992	8824	62
993	8833	53
994	8842	44
995	8850	35
996	8859	26
997	8868	17
998	8877	8
999	8886	0
